 
NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=3.411s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=3, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:05,dl_dst=00:00:00:00:00:0c,nw_src=10.0.0.5,nw_dst=10.0.0.12,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=3.78s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=3, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:10,nw_src=10.0.0.3,nw_dst=10.0.0.16,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=2.986s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=2, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0a,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.10,nw_dst=10.0.0.7,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=3.164s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=3, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:06,dl_dst=00:00:00:00:00:0d,nw_src=10.0.0.6,nw_dst=10.0.0.13,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=3.129s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=3, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:06,dl_dst=00:00:00:00:00:0f,nw_src=10.0.0.6,nw_dst=10.0.0.15,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=4.395s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=4, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:09,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.9,nw_dst=10.0.0.1,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=3.85s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=3, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:0b,nw_src=10.0.0.3,nw_dst=10.0.0.11,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=3.147s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=3, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:06,dl_dst=00:00:00:00:00:0e,nw_src=10.0.0.6,nw_dst=10.0.0.14,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=2.728s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=2, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:08,dl_dst=00:00:00:00:00:0d,nw_src=10.0.0.8,nw_dst=10.0.0.13,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=1.146s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:04,dl_dst=00:00:00:00:00:10,nw_src=10.0.0.4,nw_dst=10.0.0.16,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2
 cookie=0x0, duration=2.113s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=2, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0b,dl_dst=00:00:00:00:00:06,nw_src=10.0.0.11,nw_dst=10.0.0.6,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=2.792s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=2, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:09,dl_dst=00:00:00:00:00:08,nw_src=10.0.0.9,nw_dst=10.0.0.8,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=1.948s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:02,dl_dst=00:00:00:00:00:0c,nw_src=10.0.0.2,nw_dst=10.0.0.12,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2
 cookie=0x0, duration=2.575s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=2, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:05,dl_dst=00:00:00:00:00:09,nw_src=10.0.0.5,nw_dst=10.0.0.9,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2
